¿¬µµ,°è,1,2,3,4,5,6,7,8,9,10,11,12
2001,2556,14,19,34,45,176,369,681,624,378,173,30,13
2002,1799,11,4,5,34,102,192,407,561,297,145,36,5
2003,1171,10,8,9,25,73,176,275,295,186,85,22,7
2004,864,6,7,4,19,42,141,211,214,126,76,13,5
2005,1369,6,5,12,21,49,133,295,398,256,154,34,6
2006,2051,9,3,19,29,109,301,432,516,384,193,40,16
2007,2227,15,8,10,20,110,239,605,639,329,173,65,14
2008,1052,22,8,8,37,85,148,235,228,172,85,14,10
2009,1345,3,3,9,48,121,213,313,269,211,99,45,11
2010,1772,1,8,8,36,171,358,454,401,211,93,21,10
2011,826,7,10,12,25,82,170,205,164,92,43,12,4
2012,542,2,2,6,10,44,85,145,115,79,36,10,8
2013,445,4,6,8,15,53,77,95,69,58,49,10,1
2014,638,4,10,5,15,28,107,163,142,92,47,10,15
2015,699,8,5,8,37,84,129,151,146,79,36,7,9
2016,673,6,4,5,29,74,142,162,110,87,34,14,6
2017,515,7,7,2,9,37,86,133,112,76,35,4,7
2018,576,7,6,3,30,59,129,137,92,53,46,7,7
2019,559,6,5,4,10,38,111,154,114,64,39,8,6
2020,385,8,7,6,9,22,87,110,78,35,15,4,4
2021,294,0,2,5,24,45,59,60,45,33,14,6,1
2022,420,3,1,2,6,30,92,77,83,67,42,6,11
2023,747,8,7,7,30,80,160,168,117,96,59,9,6
