¿¬µµ,°è,1,2,3,4,5,6,7,8,9,10,11,12
2001,1668,151,60,136,202,329,257,144,72,91,99,69,58
2002,764,28,22,41,113,114,127,95,57,45,47,47,28
2003,1518,28,27,57,186,160,198,198,91,82,101,136,254
2004,1744,87,54,96,125,219,276,227,92,104,151,122,191
2005,1863,73,49,116,195,238,191,153,94,76,179,259,240
2006,2089,89,65,147,177,287,264,192,163,234,122,121,228
2007,4557,133,88,163,494,677,752,484,228,256,364,411,507
2008,4542,233,109,211,486,654,760,432,217,319,344,376,401
2009,6399,210,197,363,537,772,1324,894,486,528,425,341,322
2010,6094,256,236,322,416,561,768,645,355,425,619,819,672
2011,6137,349,252,393,549,812,820,513,348,411,507,623,560
2012,7492,347,263,342,572,909,834,696,588,664,760,786,731
2013,17024,563,410,543,1040,1551,1788,1569,1173,1514,1756,2498,2619
2014,25286,1472,902,1166,2003,2438,2287,2395,1804,2303,2439,2916,3161
2015,23448,2272,1406,1774,2387,2800,2746,1733,1199,1676,1894,1928,1633
2016,17057,1062,805,1097,1652,2090,1919,1499,1150,1263,1478,1633,1409
2017,16924,977,860,1256,1684,2141,1921,1454,1140,1389,1381,1482,1239
2018,19237,1027,901,1429,2100,2796,2510,1730,1383,1243,1375,1418,1325
2019,15967,1102,911,1246,1565,2056,1988,1590,1112,1205,1125,1096,971
2020,9922,863,872,710,765,1031,1117,985,836,698,751,696,598
2021,9708,598,569,802,780,767,820,681,722,808,1297,1229,635
2022,6358,497,406,498,581,556,557,594,515,550,491,550,563
2023,7733,487,455,668,961,1089,807,805,622,470,448,462,459
