¿¬µµ,°è,1,2,3,4,5,6,7,8,9,10,11,12
2001,401,22,19,29,118,43,29,33,20,26,13,23,26
2002,221,35,25,22,21,24,19,19,18,10,9,7,12
2003,199,20,22,21,29,20,27,11,17,10,11,6,5
2004,174,17,15,17,17,21,15,20,8,8,10,10,16
2005,190,18,13,17,19,29,15,15,11,19,12,14,8
2006,200,8,16,18,14,16,34,21,23,14,8,16,12
2007,223,17,17,30,25,18,30,18,20,18,13,10,7
2008,188,12,6,19,16,19,31,23,15,15,10,6,16
2009,168,13,8,14,25,17,13,18,14,17,10,6,13
2010,133,14,7,15,12,8,13,10,18,9,11,9,7
2011,148,8,20,16,10,10,16,14,12,16,6,4,16
2012,129,13,16,11,12,12,14,10,7,9,7,9,9
2013,156,17,10,8,24,23,13,10,13,8,2,8,20
2014,251,9,14,26,26,44,35,25,11,12,8,15,26
2015,121,11,11,11,7,17,12,8,8,7,5,9,15
2016,121,14,9,12,8,10,17,7,12,6,10,4,12
2017,128,6,8,11,6,15,16,11,24,12,5,3,11
2018,213,30,34,27,38,10,13,8,9,8,14,12,10
2019,94,14,15,12,13,6,6,10,5,5,2,2,4
2020,39,6,3,2,3,3,3,3,4,2,2,1,7
2021,61,16,5,2,4,6,0,3,6,5,4,4,6
2022,38,3,3,3,1,5,1,5,7,5,2,2,1
2023,19,0,4,2,1,3,2,1,1,1,1,1,2
