지점,지점명,일시,평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),평균풍속(m/s),평균운량(1/10)
90,속초,2001-01,1019.3,1021.4,2.7,47,3.3,3.8
90,속초,2001-02,1019.7,1021.9,3.5,51,2.9,4.4
90,속초,2001-03,1010.5,1012.6,4.3,48,3.4,4
90,속초,2001-04,1012.3,1014.3,7.1,51,3,4.9
90,속초,2001-05,1007.2,1009.2,11.1,61,2.9,5.7
90,속초,2001-06,1004.9,1006.9,17.2,75,2.1,7.5
90,속초,2001-07,1004.4,1006.3,22,77,1.7,6.9
90,속초,2001-08,1008.5,1010.5,21.7,80,1.5,6.1
90,속초,2001-09,1013.6,1015.6,17,71,2.1,6.1
90,속초,2001-10,1016,1018,12.7,70,1.6,5.2
90,속초,2001-11,1017.4,1019.5,5.2,44,2.1,2.6
90,속초,2001-12,1022.6,1024.7,2.6,36,2.5,3.5
90,속초,2002-01,1016,1018.2,3.6,51,2.4,4.1
90,속초,2002-02,1018.6,1020.7,3.2,37,2,3.1
90,속초,2002-03,1012.3,1014.4,5.3,47,1.9,4.2
90,속초,2002-04,1011.5,1013.5,7.5,54,2.7,4.3
90,속초,2002-05,1010.4,1012.5,11.8,69,2.3,5.2
90,속초,2002-06,1006.2,1008.1,16.3,73,2.3,5.5
90,속초,2002-07,1003.4,1005.3,21.5,83,2,7.9
90,속초,2002-08,1007,1008.9,22,81,2.1,7.9
90,속초,2002-09,1013.5,1015.5,17,77,1.9,5.5
90,속초,2002-10,1014.6,1016.6,9.3,59,2.4,4.2
90,속초,2002-11,1016.9,1019.1,4,42,3,3.1
90,속초,2002-12,1022.1,1024.4,4.3,61,2.3,5
90,속초,2003-01,1018.4,1020.7,2.9,49,2.6,3.3
90,속초,2003-02,1019.7,1022,4.6,66,2.1,5.7
90,속초,2003-03,1018.9,1021.2,5.5,65,2,6.1
90,속초,2003-04,1012.8,1015,8.4,66,2.5,5.9
90,속초,2003-05,1011.7,1013.9,12.8,76,2.3,6.6
90,속초,2003-06,1004.4,1006.5,17.8,75,1.9,7
90,속초,2003-07,1006.4,1008.5,21.3,86,2.1,8.3
90,속초,2003-08,1007.2,1009.2,23.3,85,1.9,7.2
90,속초,2003-09,1012.2,1014.3,19,81,2.2,6.7
